"","flag0.05_Type1err","flag0.05_power","flag0.055_Type1err","flag0.055_power","flag0.06_Type1err","flag0.06_power","flag0.065_Type1err","flag0.065_power","flag0.07_Type1err","flag0.07_power","flag0.075_Type1err","flag0.075_power","flag0.08_Type1err","flag0.08_power","flag0.085_Type1err","flag0.085_power","flag0.09_Type1err","flag0.09_power","flag0.095_Type1err","flag0.095_power","flag0.1_Type1err","flag0.1_power","flag0.105_Type1err","flag0.105_power","flag0.11_Type1err","flag0.11_power","flag0.115_Type1err","flag0.115_power","flag0.12_Type1err","flag0.12_power","flag0.125_Type1err","flag0.125_power","flag0.13_Type1err","flag0.13_power","flag0.135_Type1err","flag0.135_power","flag0.14_Type1err","flag0.14_power","flag0.145_Type1err","flag0.145_power","flag0.15_Type1err","flag0.15_power","flag0.155_Type1err","flag0.155_power","flag0.16_Type1err","flag0.16_power","flag0.165_Type1err","flag0.165_power","flag0.17_Type1err","flag0.17_power","flag0.175_Type1err","flag0.175_power","flag0.18_Type1err","flag0.18_power","flag0.185_Type1err","flag0.185_power","flag0.19_Type1err","flag0.19_power","flag0.195_Type1err","flag0.195_power","flag0.2_Type1err","flag0.2_power","flag0.205_Type1err","flag0.205_power","flag0.21_Type1err","flag0.21_power","flag0.215_Type1err","flag0.215_power","flag0.22_Type1err","flag0.22_power","flag0.225_Type1err","flag0.225_power","flag0.23_Type1err","flag0.23_power","flag0.235_Type1err","flag0.235_power","flag0.24_Type1err","flag0.24_power","flag0.245_Type1err","flag0.245_power","flag0.25_Type1err","flag0.25_power","flag0.255_Type1err","flag0.255_power","flag0.26_Type1err","flag0.26_power","flag0.265_Type1err","flag0.265_power","flag0.27_Type1err","flag0.27_power","flag0.275_Type1err","flag0.275_power","flag0.28_Type1err","flag0.28_power","flag0.285_Type1err","flag0.285_power","flag0.29_Type1err","flag0.29_power","flag0.295_Type1err","flag0.295_power","flag0.3_Type1err","flag0.3_power","flag0.305_Type1err","flag0.305_power","flag0.31_Type1err","flag0.31_power","flag0.315_Type1err","flag0.315_power","flag0.32_Type1err","flag0.32_power","flag0.325_Type1err","flag0.325_power","flag0.33_Type1err","flag0.33_power","flag0.335_Type1err","flag0.335_power","flag0.34_Type1err","flag0.34_power","flag0.345_Type1err","flag0.345_power","flag0.35_Type1err","flag0.35_power","flag0.355_Type1err","flag0.355_power","flag0.36_Type1err","flag0.36_power","flag0.365_Type1err","flag0.365_power","flag0.37_Type1err","flag0.37_power","flag0.375_Type1err","flag0.375_power","flag0.38_Type1err","flag0.38_power","flag0.385_Type1err","flag0.385_power","flag0.39_Type1err","flag0.39_power","flag0.395_Type1err","flag0.395_power","flag0.4_Type1err","flag0.4_power","flag0.45_Type1err","flag0.45_power","flag0.5_Type1err","flag0.5_power","flag0.55_Type1err","flag0.55_power","flag0.6_Type1err","flag0.6_power","flag0.65_Type1err","flag0.65_power","flag0.7_Type1err","flag0.7_power"
"33",1,1,1,1,1,1,0.956521739130435,1,0.91304347826087,1,0.826086956521739,1,0.826086956521739,1,0.782608695652174,1,0.695652173913043,1,0.608695652173913,1,0.478260869565217,1,0.434782608695652,1,0.391304347826087,1,0.391304347826087,0.833333333333333,0.347826086956522,0.833333333333333,0.347826086956522,0.833333333333333,0.347826086956522,0.5,0.260869565217391,0.333333333333333,0.217391304347826,0.333333333333333,0.173913043478261,0.333333333333333,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0.956521739130435,1,0.956521739130435,1,0.956521739130435,1,0.956521739130435,1,0.91304347826087,1,0.826086956521739,1,0.739130434782609,1,0.608695652173913,0.833333333333333,0.565217391304348,0.833333333333333,0.478260869565217,0.666666666666667,0.391304347826087,0.666666666666667,0.391304347826087,0.666666666666667,0.391304347826087,0.666666666666667,0.391304347826087,0.666666666666667,0.260869565217391,0.666666666666667,0.217391304347826,0.666666666666667,0.173913043478261,0.666666666666667,0.173913043478261,0.666666666666667,0.130434782608696,0.5,0.0869565217391304,0.5,0.0434782608695652,0.5,0.0434782608695652,0.5,0.0434782608695652,0.5,0.0434782608695652,0.5,0.0434782608695652,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",1,1,1,1,1,1,0.956521739130435,1,0.91304347826087,1,0.869565217391304,1,0.869565217391304,0.5,0.826086956521739,0.5,0.826086956521739,0.5,0.739130434782609,0.333333333333333,0.695652173913043,0.333333333333333,0.695652173913043,0.333333333333333,0.652173913043478,0.333333333333333,0.565217391304348,0.333333333333333,0.478260869565217,0.333333333333333,0.434782608695652,0.333333333333333,0.391304347826087,0.166666666666667,0.347826086956522,0.166666666666667,0.260869565217391,0.166666666666667,0.260869565217391,0.166666666666667,0.173913043478261,0.166666666666667,0.173913043478261,0,0.130434782608696,0,0.0869565217391304,0,0.0869565217391304,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",1,1,1,1,1,1,0.91304347826087,1,0.869565217391304,1,0.826086956521739,0.666666666666667,0.782608695652174,0.5,0.695652173913043,0.333333333333333,0.652173913043478,0.333333333333333,0.565217391304348,0.333333333333333,0.565217391304348,0.166666666666667,0.434782608695652,0.166666666666667,0.391304347826087,0.166666666666667,0.260869565217391,0.166666666666667,0.217391304347826,0.166666666666667,0.173913043478261,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",1,1,1,1,0.956521739130435,1,0.956521739130435,1,0.869565217391304,1,0.826086956521739,1,0.739130434782609,1,0.695652173913043,0.666666666666667,0.652173913043478,0.5,0.652173913043478,0.5,0.565217391304348,0.5,0.521739130434783,0.333333333333333,0.478260869565217,0.333333333333333,0.434782608695652,0.333333333333333,0.434782608695652,0.333333333333333,0.434782608695652,0.333333333333333,0.391304347826087,0.166666666666667,0.391304347826087,0.166666666666667,0.260869565217391,0.166666666666667,0.173913043478261,0.166666666666667,0.173913043478261,0,0.173913043478261,0,0.130434782608696,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",1,1,1,1,0.956521739130435,1,0.956521739130435,0.666666666666667,0.956521739130435,0.666666666666667,0.956521739130435,0.666666666666667,0.869565217391304,0.666666666666667,0.869565217391304,0.666666666666667,0.782608695652174,0.666666666666667,0.782608695652174,0.666666666666667,0.782608695652174,0.5,0.695652173913043,0.5,0.608695652173913,0.166666666666667,0.478260869565217,0,0.478260869565217,0,0.391304347826087,0,0.391304347826087,0,0.304347826086957,0,0.217391304347826,0,0.173913043478261,0,0.130434782608696,0,0.130434782608696,0,0.130434782608696,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,1,1,1,0.956521739130435,1,0.91304347826087,1,0.782608695652174,1,0.695652173913043,0.833333333333333,0.565217391304348,0.833333333333333,0.391304347826087,0.666666666666667,0.347826086956522,0.5,0.347826086956522,0.5,0.347826086956522,0.333333333333333,0.347826086956522,0,0.260869565217391,0,0.260869565217391,0,0.173913043478261,0,0.173913043478261,0,0.173913043478261,0,0.130434782608696,0,0.130434782608696,0,0.130434782608696,0,0.0869565217391304,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,1,1,1,1,1,0.956521739130435,1,0.91304347826087,1,0.826086956521739,1,0.782608695652174,0.666666666666667,0.739130434782609,0.666666666666667,0.652173913043478,0.666666666666667,0.478260869565217,0.5,0.347826086956522,0.5,0.260869565217391,0.333333333333333,0.217391304347826,0.166666666666667,0.217391304347826,0.166666666666667,0.130434782608696,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0,0.0869565217391304,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",1,1,1,1,1,1,1,1,1,1,0.869565217391304,1,0.826086956521739,0.833333333333333,0.695652173913043,0.833333333333333,0.652173913043478,0.833333333333333,0.608695652173913,0.666666666666667,0.478260869565217,0.666666666666667,0.434782608695652,0.666666666666667,0.347826086956522,0.5,0.304347826086957,0.166666666666667,0.304347826086957,0,0.260869565217391,0,0.217391304347826,0,0.173913043478261,0,0.173913043478261,0,0.173913043478261,0,0.130434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",1,1,1,1,1,1,0.956521739130435,0.833333333333333,0.91304347826087,0.833333333333333,0.869565217391304,0.833333333333333,0.869565217391304,0.833333333333333,0.826086956521739,0.666666666666667,0.782608695652174,0.666666666666667,0.695652173913043,0.666666666666667,0.695652173913043,0.666666666666667,0.652173913043478,0.5,0.478260869565217,0.5,0.478260869565217,0.333333333333333,0.478260869565217,0.166666666666667,0.260869565217391,0.166666666666667,0.260869565217391,0.166666666666667,0.260869565217391,0.166666666666667,0.217391304347826,0.166666666666667,0.173913043478261,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0434782608695652,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",1,1,1,1,1,1,1,1,1,1,1,1,0.956521739130435,0.833333333333333,0.91304347826087,0.833333333333333,0.782608695652174,0.5,0.739130434782609,0.5,0.695652173913043,0.5,0.695652173913043,0.333333333333333,0.695652173913043,0.333333333333333,0.608695652173913,0.333333333333333,0.565217391304348,0.333333333333333,0.565217391304348,0.333333333333333,0.521739130434783,0.333333333333333,0.478260869565217,0.333333333333333,0.304347826086957,0.333333333333333,0.217391304347826,0.166666666666667,0.173913043478261,0,0.173913043478261,0,0.173913043478261,0,0.173913043478261,0,0.173913043478261,0,0.173913043478261,0,0.173913043478261,0,0.130434782608696,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",1,0.833333333333333,1,0.833333333333333,1,0.833333333333333,0.956521739130435,0.833333333333333,0.91304347826087,0.833333333333333,0.91304347826087,0.833333333333333,0.869565217391304,0.833333333333333,0.826086956521739,0.833333333333333,0.826086956521739,0.833333333333333,0.739130434782609,0.666666666666667,0.652173913043478,0.666666666666667,0.521739130434783,0.666666666666667,0.478260869565217,0.333333333333333,0.260869565217391,0.166666666666667,0.217391304347826,0.166666666666667,0.217391304347826,0.166666666666667,0.0869565217391304,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,1,1,1,1,1,0.956521739130435,1,0.91304347826087,1,0.91304347826087,1,0.782608695652174,0.833333333333333,0.782608695652174,0.833333333333333,0.695652173913043,0.666666666666667,0.652173913043478,0.666666666666667,0.565217391304348,0.666666666666667,0.521739130434783,0.666666666666667,0.391304347826087,0.666666666666667,0.391304347826087,0.666666666666667,0.347826086956522,0.5,0.347826086956522,0.333333333333333,0.347826086956522,0.333333333333333,0.304347826086957,0.333333333333333,0.304347826086957,0.166666666666667,0.304347826086957,0,0.217391304347826,0,0.217391304347826,0,0.217391304347826,0,0.173913043478261,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.869565217391304,0.833333333333333,0.869565217391304,0.833333333333333,0.782608695652174,0.833333333333333,0.695652173913043,0.833333333333333,0.608695652173913,0.833333333333333,0.608695652173913,0.833333333333333,0.521739130434783,0.833333333333333,0.434782608695652,0.666666666666667,0.434782608695652,0.666666666666667,0.391304347826087,0.5,0.347826086956522,0.5,0.347826086956522,0.5,0.217391304347826,0.333333333333333,0.173913043478261,0.333333333333333,0.173913043478261,0.333333333333333,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",1,1,1,1,1,1,1,1,0.956521739130435,1,0.956521739130435,1,0.956521739130435,0.833333333333333,0.869565217391304,0.666666666666667,0.782608695652174,0.666666666666667,0.739130434782609,0.666666666666667,0.739130434782609,0.5,0.739130434782609,0.5,0.695652173913043,0.5,0.565217391304348,0.333333333333333,0.521739130434783,0.333333333333333,0.434782608695652,0.333333333333333,0.391304347826087,0.166666666666667,0.347826086956522,0.166666666666667,0.260869565217391,0.166666666666667,0.217391304347826,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0,0.0869565217391304,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",1,1,1,1,1,1,1,1,1,0.833333333333333,0.956521739130435,0.666666666666667,0.782608695652174,0.666666666666667,0.695652173913043,0.666666666666667,0.652173913043478,0.666666666666667,0.565217391304348,0.666666666666667,0.521739130434783,0.666666666666667,0.521739130434783,0.666666666666667,0.478260869565217,0.5,0.478260869565217,0.5,0.347826086956522,0.333333333333333,0.347826086956522,0.333333333333333,0.347826086956522,0.333333333333333,0.260869565217391,0.333333333333333,0.217391304347826,0.333333333333333,0.173913043478261,0.333333333333333,0.173913043478261,0.333333333333333,0.173913043478261,0.333333333333333,0.173913043478261,0.166666666666667,0.173913043478261,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",1,1,1,1,1,1,1,1,0.91304347826087,1,0.826086956521739,0.833333333333333,0.782608695652174,0.833333333333333,0.608695652173913,0.833333333333333,0.608695652173913,0.833333333333333,0.565217391304348,0.833333333333333,0.565217391304348,0.666666666666667,0.521739130434783,0.666666666666667,0.434782608695652,0.5,0.391304347826087,0.5,0.391304347826087,0.5,0.347826086956522,0.5,0.347826086956522,0.5,0.304347826086957,0.333333333333333,0.217391304347826,0.333333333333333,0.173913043478261,0.333333333333333,0.173913043478261,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",1,1,1,1,1,1,0.956521739130435,1,0.91304347826087,0.833333333333333,0.869565217391304,0.666666666666667,0.826086956521739,0.666666666666667,0.739130434782609,0.666666666666667,0.695652173913043,0.666666666666667,0.608695652173913,0.5,0.434782608695652,0.5,0.304347826086957,0.5,0.260869565217391,0.5,0.217391304347826,0.5,0.130434782608696,0.333333333333333,0.130434782608696,0.333333333333333,0.0869565217391304,0.333333333333333,0.0869565217391304,0.333333333333333,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1,1,1,1,1,1,1,1,0.956521739130435,1,0.869565217391304,1,0.826086956521739,0.833333333333333,0.739130434782609,0.833333333333333,0.521739130434783,0.833333333333333,0.434782608695652,0.5,0.304347826086957,0.5,0.217391304347826,0.5,0.173913043478261,0.5,0.173913043478261,0.333333333333333,0.173913043478261,0,0.130434782608696,0,0.130434782608696,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,0.956521739130435,1,0.956521739130435,1,0.91304347826087,0.833333333333333,0.869565217391304,0.833333333333333,0.739130434782609,0.5,0.565217391304348,0.5,0.565217391304348,0.5,0.478260869565217,0.333333333333333,0.434782608695652,0.333333333333333,0.391304347826087,0.333333333333333,0.304347826086957,0.333333333333333,0.260869565217391,0.333333333333333,0.217391304347826,0.333333333333333,0.173913043478261,0.333333333333333,0.0869565217391304,0.333333333333333,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0.166666666666667,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,1,1,1,1,1,1,0.833333333333333,1,0.833333333333333,0.956521739130435,0.833333333333333,0.91304347826087,0.833333333333333,0.869565217391304,0.833333333333333,0.826086956521739,0.666666666666667,0.695652173913043,0.5,0.695652173913043,0.5,0.608695652173913,0.5,0.478260869565217,0.5,0.391304347826087,0.333333333333333,0.347826086956522,0.333333333333333,0.260869565217391,0.333333333333333,0.217391304347826,0.333333333333333,0.217391304347826,0.166666666666667,0.0869565217391304,0.166666666666667,0.0869565217391304,0.166666666666667,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",1,1,1,1,1,1,1,0.833333333333333,0.869565217391304,0.833333333333333,0.869565217391304,0.833333333333333,0.695652173913043,0.833333333333333,0.652173913043478,0.833333333333333,0.565217391304348,0.833333333333333,0.521739130434783,0.833333333333333,0.478260869565217,0.833333333333333,0.391304347826087,0.666666666666667,0.347826086956522,0.666666666666667,0.347826086956522,0.666666666666667,0.260869565217391,0.333333333333333,0.217391304347826,0.333333333333333,0.173913043478261,0.333333333333333,0.173913043478261,0.333333333333333,0.173913043478261,0.333333333333333,0.130434782608696,0.333333333333333,0.130434782608696,0.333333333333333,0.130434782608696,0.333333333333333,0.130434782608696,0.333333333333333,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
